finding,ICD10_code,PFx,Word Count ,PFx_ICD10_Code,_0_agent_icd10_codes,_0_icd10_matches,_0_pfx_icd10_matches,_0_flesch,accuracy_agent_icd10,accuracy_pfx_icd10,accuracy,readability_difference,overall_score,ICD10_trimmed,pfx_trimmed ,relaxed_pfx_accuracy,agent_trimmed,relaxed_agent_accuracy,relaxed_accuracy,relaxed_overall_score
Abdominal Aortic Aneurysm,I71.4,"An abdominal aortic aneurysm is like a weak spot in the wall of a big balloon. Your aorta is a large blood vessel that carries blood from your heart to the rest of your body. Sometimes the walls of the aorta in the belly area are not as strong and can stretch outwards. If it gets too big, it might pop, just like a balloon can burst if it gets too full. That's why it is important to know if you have this because doctors can keep an eye on it to make sure it stays safe.",97,I71.4,I71.4,TRUE,TRUE,85.62,1,1,1,0.62,1.72345679,I71,I71,1,I71,1,1,1.72345679
Renal Artery Stenosis,I70.1,"Renal Artery Stenosis is when the tubes that bring blood to your kidneys get narrow, like squeezing a tube of toothpaste. When this happens, less blood can reach your kidneys. Your kidneys clean your blood and help keep blood pressure normal. If they don't get enough blood, they have to work harder. This can change how well they do their jobs. Because of this, doctors like to keep an eye on it to make sure your kidneys stay healthy and everything in your body stays balanced. It's like checking tires to make sure there's enough air.",96,I70.1,I70.1,TRUE,TRUE,91.41,1,1,1,6.41,1.626990553,I70,I70,1,I70,1,1,1.626990553
Mesenteric Ischemia,K55.1,"Mesenteric ischemia happens when there isn't enough blood getting to the small intestine, just like how plants need water to survive. Without blood, the intestine can't get what it needs and can get sick. If blood vessels get blocked, blood flow gets worse. This can lead to very bad damage to the intestine. People might feel pain in their belly after eating, and they could lose weight if they stop eating enough. The problem can get serious, so doctors use special tools and tests to check it out and make sure it’s not too bad.",95,K55.0,K55.0,FALSE,FALSE,80.82,0,0,0,4.18,0.03861003861,K55,K55,1,K55,1,1,1.638610039
Inferior Vena Cava Thrombosis,I82.220,"The doctor found something called a thrombosis in the inferior vena cava. This is a big vein that carries blood from your legs and belly back to your heart. A thrombosis means there’s a blood clot inside this vein. Imagine a river that flows smoothly, but now there's a big rock blocking some of it. That's what the blood clot does. It makes it harder for blood to flow right. Knowing about this is important for the doctor to decide what to do next. If you have questions, you can always ask your doctor. It's okay to be curious.",99,I82.220,I82.2,FALSE,TRUE,85.69,0,1,0.5,0.69,0.9183431953,I82,I82,1,I82,1,1,1.718343195
Aortic Dissection,I71.00,"An aortic dissection is when there is a tear in the aorta, which is a big blood vessel. It carries blood away from your heart. Imagine it's like a hose with a rip, and blood can leak through the layers. This is dangerous because the aorta is really important for moving blood that has oxygen in it all through your body. It's a serious problem that helps explain why your body needs attention if something feels wrong. Knowing about it helps keep you safe and healthy.",86,I71.0,I71.00,TRUE,FALSE,82.34,1,0,0.5,2.66,0.8546448087,I71,I71,1,I71,1,1,1.654644809
Aortic Dissection,I71.00,"An aortic dissection happens when the inside layer of your largest blood vessel tears. It’s like a crack in a straw. The aorta is the big tube carrying blood from your heart. With a tear, blood sneaks between its layers, causing a problem. This can make the aorta weak and unsafe. Imagine if your favorite straw had a crack and leaked. It would be hard to use, right? Doctors might help by slowing your blood flow or fixing the tear to keep things safe. Keeping the aorta strong is important so everything works well inside your body.",97,I71.00,I71.00,TRUE,TRUE,85.89,1,1,1,0.89,1.705820106,I71,I71,1,I71,1,1,1.705820106
Aortic Aneurysm,I71.4,"An aortic aneurysm is a bulge in the big blood tube, or aorta, that carries blood from your heart. Think of it like a bubble in a garden hose. If the hose becomes weak in one spot, it can puff outwards. This usually happens in the belly area. If the puff gets too big, it might burst, which can be harmful. Doctors keep a close eye on it to make sure it doesn't grow too large, and sometimes they offer tips on how to stay healthy to keep it small.",90,I71.4,I71.4,TRUE,TRUE,90.09,1,1,1,5.09,1.632840722,I71,I71,1,I71,1,1,1.632840722
Aortic Aneurysm,I71.9,"Imagine the aorta, the biggest blood vessel in our body, as a large river. Just like a dam's wall can get weak and bulge, a spot in the aorta can also become weak and start to bulge, making what's called an aneurysm. This bulge is often not felt and doesn't usually cause immediate harm. It's like a hidden problem that doctors watch carefully so they can step in if it shows signs of getting worse. While it's there, it usually doesn't stop you from feeling okay, but keeping an eye on it is important.",94,I71.9,I71.9,TRUE,TRUE,77.77,1,1,1,7.23,1.624301337,I71,I71,1,I71,1,1,1.624301337
Portal Vein Thrombosis,I81,"Portal vein thrombosis is when a blood clot blocks the portal vein, like a river. This vein carries blood from your belly to your liver. Think of it as a road where a big rock stops cars, so blood can't reach the liver properly. This matters because it may change how your liver works. Doctors often find this by accident when looking at pictures of your insides for other reasons. Keeping blood flowing right is important for health, just like a road that should be clear for cars to drive on.",91,I81,I81,TRUE,TRUE,81.43,1,1,1,3.57,1.643763676,I81,I81,1,I81,1,1,1.643763676
Hepatic Vein Thrombosis,I82.0,"Hepatic vein thrombosis means there is a clot in the veins that take blood from your liver. It's a bit like a traffic jam, stopping the blood from moving as it should. This can cause problems for the liver, like making your belly hurt or swell. You might also feel really tired or not well. Sometimes, this happens because of reasons like injury or illness. It is good to pay attention to how you feel and tell someone if you notice changes. This helps in figuring out what’s going on.",90,I82.0,I82.0,TRUE,TRUE,83.76,1,1,1,1.24,1.689285714,I82,I82,1,I82,1,1,1.689285714
Ovarian Cyst,N83.20,"An ovarian cyst is a small sac filled with fluid that forms on an ovary. Ovaries are where women's eggs develop. Picture a little water balloon attached to the ovary. Usually, these cysts are harmless and go away on their own without causing any trouble. You might not even know it's there since they often don’t cause any symptoms. However, some cysts can lead to discomfort or require medical care. If you ever notice unexplained pain or changes, it's important to inform a doctor, as some cysts may need closer monitoring or treatment.",93,N83.20,N83.2,FALSE,TRUE,74.9,0,1,0.5,10.1,0.818018018,N83,N83,1,N83,1,1,1.618018018
Splenic Vein Thrombosis,I82.8,"Splenic vein thrombosis means there's a blood clot in the vein that carries blood away from your spleen. Imagine this vein as a pipe in your home. If the pipe gets blocked, water doesn't flow properly. Similarly, the clot makes it hard for blood to flow out from your spleen. This can cause belly pain and sometimes makes the spleen bigger. It's important because it can cause more problems. A healthcare professional should check it to decide how to help blood move better again.",84,I82.891,I82.890,FALSE,FALSE,84.68,0,0,0,0.32,0.1515151515,I82,I82,1,I82,1,1,1.751515152
Fibroadenoma,D24.0,"A fibroadenoma is a small and smooth lump you might find in the breast. It's made from normal breast and fibrous tissue, kind of like a soft but firm rubber band. These lumps feel round and can move around under the skin, like marbles. They're very common, especially in young women. Even though they are lumps in the breast, they are not cancer. They don’t usually spread or grow fast. Most of the time, they are harmless and don't need to be removed. But sometimes, doctors might check them to make sure they stay the same.",96,D24.0,N60.2,FALSE,TRUE,93.14,0,1,0.5,8.14,0.8218818381,D24,D24,1,N60,0,0.5,0.8218818381
Breast Cyst,N60.09,"A breast cyst is like a small, water balloon in the breast. It’s a tiny, soft bag filled with fluid, not air. Breast cysts happen often and can show up alone or together. They are usually harmless and don’t turn into cancer. Their size might change when your body’s hormones change, like during your period. Sometimes, they might feel a little sore. But, often, they just go away on their own. Knowing about breast cysts helps us understand what’s happening in our bodies.",83,N60.09,N60.09,TRUE,TRUE,86.3,1,1,1,1.3,1.686956522,N60,N60,1,N60,1,1,1.686956522
Gynecomastia,N62,"Gynecomastia is when a boy or man's chest grows larger because of more breast tissue. It's not the same as gaining weight. Hormones can cause this, especially when growing up. This change can happen in one or both chests and is normal for many. It might feel odd, but it usually isn't serious. Think of it as a part of growing up, like how someone's voice changes. It's good to talk with an adult you trust or visit a doctor to find out more. They can help explain why it happens and what to expect.",95,N62,N62,TRUE,TRUE,84.78,1,1,1,0.22,1.763934426,N62,N62,1,N62,1,1,1.763934426
Ductal Carcinoma In Situ,D05.9,"Ductal Carcinoma In Situ, or DCIS, is a kind of early stage breast cancer. It’s when some cancer cells are found in the milk ducts, which are tiny tubes in the breast that carry milk. Think of it like a seed that hasn't grown into a big plant yet. These cells haven’t moved out of the ducts yet, which means it hasn’t spread into other parts of the body. This is important because it often means it's easier to treat and manage. Doctors like to catch DCIS early, so it's really good that they found it.",96,D05.9,D05.1,FALSE,TRUE,80.62,0,1,0.5,4.38,0.8371747212,D05,D05,1,D05,1,1,1.637174721
Lobular Neoplasia,D05.0,"Lobular neoplasia means some cells in the breast are not normal. These cells are in tiny parts of the breast that make milk, called lobules. Imagine it like spotting a different color in a set of building blocks. These cells are not cancer, but they can mean there's a higher chance of getting breast cancer in the future. It's important to keep watching them. It's okay; it just means going for regular check-ups to make sure everything is alright. So, don't worry, just keep taking care of yourself and going to your doctor.",93,D05.00,D24.1,FALSE,FALSE,83.36,0,0,0,1.64,0.07575757576,D05,D05,1,D24,0,0.5,0.8757575758
Breast Lipoma,D17.39,"A breast lipoma is a small, soft lump in the breast. It is made from fat. Imagine it like a tiny pillow under the skin. Lipomas are common and harmless. They do not turn into cancer. Usually, a lipoma does not hurt and isn't felt at all. Many people have lipomas and do not feel them or know they are there. You can think of a lipoma as a quiet part of your body that just sits and is not a problem.",82,D17.39,D17.0,FALSE,TRUE,94.86,0,1,0.5,9.86,0.8184162063,D17,D17,1,D17,1,1,1.618416206
Breast Abscess,N61.1,"A breast abscess is a pocket of infection in the breast. It's like a little ball filled with pus, a thick fluid made when the body fights bacteria, which are tiny creatures that can cause infections. This lump can make the breast feel sore, red, or swollen. It's the body's warning sign that it needs to clear the infection. The lump might be tender to touch and warm. Just like when you have a cut that gets red and puffy, the breast is reacting to an unwanted invader and needs help to feel better.",94,N61.1,N61,FALSE,TRUE,89.38,0,1,0.5,4.38,0.8371747212,N61,N61,1,N61,1,1,1.637174721
Breast Hematoma,N64.89,"A breast hematoma is like a bruise inside your breast. It happens when small blood vessels break and cause blood to pool in the breast tissue. This can occur after an injury, surgery, or even a biopsy. Just like a bruise on your arm or leg, the area may feel tender or sore. It might also appear swollen or change color. Most of the time, breast hematomas get better on their own as the body absorbs the blood. It’s important to keep an eye on it, and remember that it’s quite different from other kinds of lumps in the breast.",100,N61,N64.89,TRUE,FALSE,90.8,1,0,0.5,5.8,0.8294117647,N64,N61,0,N64,1,0.5,0.8294117647
Intraductal Papilloma,D24.0,"An intraductal papilloma is a small bump inside a milk duct in the breast. Think of it like a tiny balloon inside a straw that carries milk. These bumps are not dangerous and do not cause cancer. Sometimes, they can hurt a bit or cause clear or red fluid to come from the nipple. They happen more often in women over 40, but anyone can get them. Doctors usually find these bumps during special tests, like a mammogram, when checking for other things.",83,D24.0,D24.1,FALSE,TRUE,82.85,0,1,0.5,2.15,0.8634920635,D24,D24,1,D24,1,1,1.663492063
Esophageal Diverticulum,K22.5,"An esophageal diverticulum is a small pocket that can form in the esophagus, which is the tube moving food and drinks from our throat to our stomach. Think of it like a tiny, extra pocket on the side of a tube. It might make swallowing tricky, or sometimes food gets stuck. Most of the time, it doesn’t cause big issues. But knowing about it is useful if you notice something different with eating or drinking. It’s important to understand this so you can share anything unusual with your healthcare provider if needed.",92,K22.5,K22.5,TRUE,TRUE,72.87,1,1,1,12.13,1.615232292,K22,K22,1,K22,1,1,1.615232292
Achalasia,K22.0,"Achalasia happens when the esophagus has trouble moving food to the stomach. The esophagus is like a tube that takes food from your mouth to your belly. Normally, it squeezes and helps push the food down. At the bottom, a little door opens to let the food in. But with achalasia, this door doesn't open right, and the squeezing is weak. This makes it hard to swallow food or drinks and might cause a chest ache. Imagine a doorway that’s too narrow for things to pass through easily. It's like that for food in achalasia.",95,K22.0,K22.0,TRUE,TRUE,84.78,1,1,1,0.22,1.763934426,K22,K22,1,K22,1,1,1.763934426
Barrett's Esophagus,K22.70,"Barrett's esophagus happens when the inside of your esophagus changes. It's kind of like when a smooth road gets bumpy from wear and tear. This change happens because sometimes stomach acid comes back up into the esophagus too often. It’s not just a simple case of heartburn. During check-ups, doctors find these changes. It does not mean you have cancer, but these areas need to be checked regularly. This is because, though rare, they could turn into something more serious. With care, you can manage it just fine.",88,K22.7,K22.70,TRUE,FALSE,77.23,1,0,0.5,7.77,0.8228050171,K22,K22,1,K22,1,1,1.622805017
Esophageal Perforation,K22.3,"An esophageal perforation happens when there is a hole or a tear in your esophagus. The esophagus is the tube that moves food from your mouth to your stomach. Imagine if a straw had a little hole in it, and your drink leaked out. This is like what happens in your esophagus. Food or drink can spill out, and you might feel pain or find it hard to swallow. It's important to know about this so you can stay healthy and not have more problems later.",86,K22.3,K22.3,TRUE,TRUE,90.8,1,1,1,5.8,1.629411765,K22,K22,1,K22,1,1,1.629411765
Esophageal Carcinoma,C15.9,"Esophageal carcinoma is a type of cancer that begins in the esophagus, which is the tube that brings food from your mouth to your stomach. This cancer can cause problems like trouble swallowing food, losing weight without trying, and feeling pain in your chest. The esophagus is an important part of how our body digests food, and having cancer there is serious. Doctors can help with treatments such as surgery, medicine to fight cancer cells, or radiation to shrink it. They carefully decide the best way to treat esophageal carcinoma by learning more about it from tests.",97,C15.9,C15.9,TRUE,TRUE,68.7,1,1,1,16.3,1.611560694,C15,C15,1,C15,1,1,1.611560694
Pericardial Effusion,I31.3,"""Pericardial effusion"" means extra water around your heart. Your heart is inside a soft bag called a pericardium. Sometimes, a little too much water collects here, like filling a small water balloon. This extra water doesn't mean something is wrong now, but it's important to watch it. Too much water can make your heart work harder, like wearing a jacket that's too tight when you try to play. Sometimes you might not feel anything, other times you might feel chest hurts or have trouble taking a deep breath. Keeping track of it is helpful.",94,I31.3,I31.3,TRUE,TRUE,74.79,1,1,1,10.21,1.617841213,I31,I31,1,I31,1,1,1.617841213
Left Ventricular Hypertrophy,I51.7,"Left ventricular hypertrophy (LVH) is when one part of your heart becomes thicker. Imagine your heart as a pump. It works extra hard if there's lots of blood to push around. The left side of the heart is a main part of this pump. If it's doing extra work, it can get thick. It's important because a thicker heart is like a pump that's getting worn out. To keep your heart pump in good shape, you should eat healthy food, exercise often, and stay away from things that are bad for you like smoking.",94,I51.7,I51.7,TRUE,TRUE,91.71,1,1,1,6.71,1.625940337,I51,I51,1,I51,1,1,1.625940337
Myocardial Fibrosis,I51.4,"Myocardial fibrosis is when the heart muscle has some extra scar tissue instead of just healthy tissue. Imagine if a part of your heart has tiny scars, kind of like when you get a deep scrape on your knee and it heals with a scar. These scars can make the heart a bit stiffer, so it might not pump blood as well. Your heart is like a pump, and it works best when it's strong and flexible. It's important to know this so doctors can check if it's affecting how your heart works.",93,I51.4,I51.4,TRUE,TRUE,86.44,1,1,1,1.44,1.681967213,I51,I51,1,I51,1,1,1.681967213
Pericardial Cyst,I31.8,"A pericardial cyst is like a small bubble near the heart. It is a tiny sac filled with fluid that forms in the thin layer around the heart, called the pericardium. Imagine it as a little water balloon sitting there. These cysts are usually harmless and don't cause any trouble. They often show up during special tests like an MRI, when doctors are checking for other things. It's good to know they're there, just to keep an eye on them, but most of the time, they don't need any treatment.",90,I31.8,Q23.8,FALSE,TRUE,81.63,0,1,0.5,3.37,0.8457665904,I31,I31,1,Q23,0,0.5,0.8457665904
Mitral Valve Calcification,I34.0,"Mitral valve calcification happens when the valve between the heart's left atrium and ventricle, called the mitral valve, gets calcium build-up. It's like minerals clogging a pipe at home. This makes the valve stiff and hard to move. Older people usually get this, and it often doesn't cause any signs. So, you might not notice anything. But sometimes, it can make the heart work harder. This is why it's good to know about it even if you feel okay.",79,I34.0,I34.0,TRUE,TRUE,85.39,1,1,1,0.39,1.743884892,I34,I34,1,I34,1,1,1.743884892
Right Ventricular Hypertrophy,I42.2,"Right Ventricular Hypertrophy, or RVH, means the right side of your heart has gotten thicker. Think of it like a muscle getting bigger when it gets used a lot. The right side of your heart sends blood to your lungs to pick up oxygen. When your heart works harder than normal, it can grow bigger. Sometimes, having thick heart muscles might not be bad, but it's good to know why it happened. This can be because of lung issues or heart problems you're born with. Understanding RVH helps in keeping your heart in good shape.",95,I42.2,I51.7,FALSE,TRUE,83.05,0,1,0.5,1.95,0.8677966102,I42,I42,1,I51,0,0.5,0.8677966102
Coronary Artery Calcification,I25.10,"Coronary artery calcification is when little bits of calcium, like tiny rocks, start to build up in the heart's blood vessels. These vessels are like pipes that should be open and flexible to let blood flow easily. When the build-up happens, the pipes become stiff and narrow, making it harder for blood to move around. But don't worry, this is something that happens as we grow older. You can help keep your heart in good shape by eating healthy meals and getting plenty of exercise. This helps your blood vessels stay open and strong.",94,I25.10,I25.84,FALSE,TRUE,80.92,0,1,0.5,4.08,0.8393700787,I25,I25,1,I25,1,1,1.639370079
Pericarditis,I30.9,"Think of your heart wearing a thin coat called the pericardium. Sometimes, this coat can get upset and swollen, like when you scrape your knee. This condition is called pericarditis. It can make your chest feel sharp pain, especially if you breathe in or move around a lot. Even though it might seem worrisome, it usually goes away on its own, similar to how a bruise fades away as days pass. Just like taking a good rest helps a scraped knee heal faster, doing the same can help calm down the pericarditis too.",93,I30.9,I30.9,TRUE,TRUE,89.58,1,1,1,4.58,1.635842294,I30,I30,1,I30,1,1,1.635842294
Dilated Cardiomyopathy,I42.0,"Dilated cardiomyopathy is like when a balloon stretches and gets too big. Instead of being small and firm, the heart becomes larger and its walls thinner. The heart has four sections, called chambers, and they pump blood throughout the body. When the heart is stretched out, it can’t pump blood as well as it should. This can make someone feel tired and short of breath. It might even cause swelling in parts of the body like the legs and feet. Doctors can help manage it so the heart works better and feels better.",93,I42.0,I42.0,TRUE,TRUE,91.82,1,1,1,6.82,1.625575448,I42,I42,1,I42,1,1,1.625575448
Hypertrophic Cardiomyopathy,I42.1,"Hypertrophic Cardiomyopathy means that the heart walls get thick. Imagine blowing a balloon until it has thick walls. When the heart walls are too thick, blood can’t flow out well. Some people might feel chest pain or their heart beating fast. They might also feel tired. Many others might not feel anything at all. You can’t catch this from someone else. It’s just how some hearts are. Doctors can check your heart and help you know more.",77,I42.1,I42.1,TRUE,TRUE,96.59,1,1,1,11.59,1.615885624,I42,I42,1,I42,1,1,1.615885624
Restrictive Cardiomyopathy,I42.5,"Restrictive Cardiomyopathy makes the heart stiff. It's like squeezing a balloon with sand inside. Normally, the heart is soft and can easily pump blood. But when it's stiff, it can't fill with blood well when it relaxes. This stiffness makes it hard to pump properly. A person might feel really tired. They might find it hard to breathe when running or walking fast. Having a stiff heart can sometimes make everyday activities more difficult. Just like a sand-filled balloon can't stretch well, the heart has a hard time stretching to fill with blood.",93,I42.5,I42.3,FALSE,TRUE,77.94,0,1,0.5,7.06,0.8248138958,I42,I42,1,I42,1,1,1.624813896
Aortic Valve Stenosis,I35.0,"Aortic valve stenosis means the valve in your heart narrows. Think of it like a door that barely opens, so blood can’t flow through easily. Your heart might have to push harder to get blood to your body. You might feel really tired, dizzy, or have a chest pain. This might happen as you get older or because of health issues. Doctors can find out if you have it with heart tests. Sometimes, it can be treated with medicine or surgery if needed. Remember, doctors know best what to do next.",91,I35.0,I35.0,TRUE,TRUE,93.74,1,1,1,8.74,1.620533881,I35,I35,1,I35,1,1,1.620533881
Mitral Valve Prolapse,I34.1,"Mitral valve prolapse, or MVP, means part of your heart's valve doesn't shut tightly. Imagine a door that doesn't close all the way. This valve helps blood move the right way. When it doesn't shut well, some blood might sneak backward. Most people don't feel any different and live normal lives. Sometimes, doctors listen for a ""click"" or a whooshing sound when the blood moves. It's not something to worry about right now, but it's a good idea for a doctor to check it from time to time.",88,I34.1,I34.1,TRUE,TRUE,92.53,1,1,1,7.53,1.623446659,I34,I34,1,I34,1,1,1.623446659
Cardiac Tumor,D15.1,"A cardiac tumor is a growth in your heart. Imagine your heart as a pump that sends blood throughout your body. Sometimes, a lump can form inside it. These lumps are called tumors. Not all tumors are harmful. Some are benign, meaning they don’t spread to other parts of your body. Others can be malignant or cancerous and might cause bigger problems. It’s important to know what kind of tumor it is so doctors can decide the best way to help. Doctors will want to find out more to keep your heart healthy.",93,D15.1,D15.1,TRUE,TRUE,86.4,1,1,1,1.4,1.683333333,D15,D15,1,D15,1,1,1.683333333
Pulmonary Nodule,R91.1,"A pulmonary nodule is a small and round spot that shows up on a lung X-ray or CT scan. Imagine it as a tiny dot on a piece of paper. Most nodules are not dangerous and can come from old infections, scars, or small non-cancerous lumps. They are usually tiny, like a pea. Doctors sometimes check them over time to see if they change. This doesn't mean there's trouble, just that they want to be sure. It sounds scarier than it is, but often these nodules do not cause problems.",90,R91.1,R91.1,TRUE,TRUE,92.22,1,1,1,7.22,1.6243309,R91,R91,1,R91,1,1,1.6243309
Lung Mass,R91.8,"A lung mass means there is a spot in your lungs that looks different from the rest. Think about having a group of red apples, but one apple is green. That's how this spot stands out. Most of the time, these spots aren't dangerous, but doctors might want to check them out more. They might do extra tests to see if this spot needs special attention. It's like finding out if the green apple is just a different kind or if it's extra special in some way.",87,R91.8,R91.1,FALSE,TRUE,90.6,0,1,0.5,5.6,0.8303030303,R91,R91,1,R91,1,1,1.63030303
Lung Cyst,J98.4,A lung cyst is like a small bubble filled with air or fluid that appears in the lung. Think of it as a tiny balloon inside your lung. Your lungs are also like balloons that help you breathe. A lung cyst usually does not cause symptoms or problems. Most people do not even notice it. Doctors may find lung cysts by accident when looking for something else. These cysts often do not need treatment. It's like finding an extra pocket in your jacket that you didn’t know was there and doesn’t affect your jacket’s function.,95,J98.4,J98.4,TRUE,TRUE,84.78,1,1,1,0.22,1.763934426,J98,J98,1,J98,1,1,1.763934426
Bronchiectasis,J47.9,"Bronchiectasis means that the tubes for air in your lungs, called bronchi, are bigger and hurt. Think of a garden hose. If it gets bent, water doesn't flow well. That's like your bronchi with bronchiectasis. When they're hurt, it's harder to clear mucus that protects your lungs. This can cause infections and make breathing tough. But don't worry! Doctors have medicines and ways to help keep you healthy. This way, you can play, run, and do your favorite things much easier.",81,J47.9,J47,FALSE,TRUE,96.18,0,1,0.5,11.18,0.8164203612,J47,J47,1,J47,1,1,1.616420361
Emphysema,J43.9,"Emphysema is a problem with your lungs. Think of your lungs like air bags that help you breathe. When someone has emphysema, the air sacs in the lungs get hurt. It makes breathing hard, like trying to blow up a balloon with holes. You might feel out of breath, tired, or have a cough. Smoking is a big reason people get emphysema. If you quit smoking, it can help your lungs a lot. Lessening what damages the lungs can make a big difference, even if it can't undo all the harm already done.",93,J43.9,J43.9,TRUE,TRUE,85.08,1,1,1,0.08,1.785185185,J43,J43,1,J43,1,1,1.785185185
Pulmonary Fibrosis,J84.10,"Pulmonary fibrosis is when lung tissue gets damaged and scarred. This thickened, stiff tissue makes it harder for your lungs to work properly. As the lung tissue becomes more scarred, you might find it more difficult to breathe deeply. Imagine if a sponge gets hardened and doesn’t soak water – similarly, lungs with fibrosis don’t take in air as easily as they should. Although the exact cause isn't always known, certain factors like long-term exposure to some toxins, infections, medications, or medical treatments could contribute to its development. Sometimes it may develop without a known reason.",96,J84.10,J84.10,TRUE,TRUE,63.9,1,1,1,21.1,1.609049774,J84,J84,1,J84,1,1,1.609049774
Pleural Effusion,J90,"Pleural effusion is when extra fluid builds up around your lungs. Think about your lungs like a sponge, and the place around them like a big bowl. Sometimes, too much water gets into the bowl and makes the sponge float. This means there's too much fluid, and that's what pleural effusion is. It could be because of things like an infection or if your heart or lungs are not working as they should. The extra fluid makes it harder to breathe, but doctors know how to make you feel okay.",90,J90,J90,TRUE,TRUE,90.09,1,1,1,5.09,1.632840722,J90,J90,1,J90,1,1,1.632840722
Pleural Effusion,J90,"Sometimes, extra liquid can build up in the space between the lungs and the chest wall. This space is called the pleural space. This condition is known as pleural effusion. Think of it as having a wet sponge tucked in a small pocket around your lungs. This liquid can make it feel difficult to breathe because the lungs don't have as much room to expand. People with pleural effusions might feel short of breath or have a cough. Doctors use special tools and tests to check for this extra liquid and see how to manage it.",96,J90,J90,TRUE,TRUE,82.95,1,1,1,2.05,1.66557377,J90,J90,1,J90,1,1,1.66557377
Pneumothorax,J93.9,"A pneumothorax is when air gets into the space between your lung and chest wall. Think of your lungs like balloons inside a box. If a balloon has a hole, the air leaks out and the balloon shrinks. This means your lung may not expand fully as it should. Small pneumothoraxes might not cause any harm, but bigger ones can make breathing hard. Doctors check the size and how you feel to decide what comes next. It's always okay to ask questions if you're unsure about something.",87,J93.9,J93.9,TRUE,TRUE,84.27,1,1,1,0.73,1.715606936,J93,J93,1,J93,1,1,1.715606936
Interstitial Lung Disease,J84.9,"Interstitial lung disease means there’s some swelling or scarring in the tiny spaces in your lungs. Your lungs are like a sponge with small holes that let air in and out. In this case, it's like some of those holes have a light cover or are partly blocked. This can make breathing tougher or cause a dry cough. While this may sound concerning, there are ways doctors can help you manage it so you can breathe easier.",77,J84.9,J84.10,FALSE,TRUE,89.68,0,1,0.5,4.68,0.8352112676,J84,J84,1,J84,1,1,1.635211268
Atelectasis,J98.11,"Atelectasis happens when a part of your lung doesn't fully fill up with air. Think of your lung like a balloon. If the balloon isn’t filled with enough air, it can’t float. Similarly, when part of your lung doesn’t fill with enough air, it collapses a bit. This doesn’t mean it has a hole or is broken, just that it’s not fully expanded. This can happen after surgery or if you lie down for a long time. It usually doesn't cause big problems, but doctors like to know about it to watch your lung health.",95,J98.11,J98.11,TRUE,TRUE,83.05,1,1,1,1.95,1.66779661,J98,J98,1,J98,1,1,1.66779661
Pulmonary Arteriovenous Malformation,Q25.72,"A pulmonary arteriovenous malformation, or PAVM, is when the blood in your lungs takes a shortcut. Usually, blood goes through small paths in your lungs to get clean and pick up oxygen. Imagine you’re in a line, but sometimes, you skip to the front. That’s what happens here. Many people don’t feel any different. But sometimes, you might get tired or have trouble breathing. Your body might not get enough clean blood. Doctors sometimes check to see if the shortcut is growing to help you stay healthy. It’s important for your blood to follow the right path.",97,Q25.72,Q25.72,TRUE,TRUE,85.89,1,1,1,0.89,1.705820106,Q25,Q25,1,Q25,1,1,1.705820106
Pneumonia,J18.9,"Pneumonia is an illness that affects the lungs. Think of your lungs like balloons. When you breathe in, these balloons fill up with air to help you get the oxygen your body needs. Pneumonia happens when the air sacs in the lungs become filled with fluid or pus, making it hard for the lungs to do their job. This might make you cough or feel short of breath. You could also have a fever or feel really tired. Doctors can often treat pneumonia with medicine, and rest is also very important to help your body recover.",96,J18.9,J18.9,TRUE,TRUE,82.95,1,1,1,2.05,1.66557377,J18,J18,1,J18,1,1,1.66557377
Chronic Obstructive Pulmonary Disease (COPD),J44.9,"Chronic Obstructive Pulmonary Disease, or COPD, is when your lungs don't work as well as they should. With COPD, it's harder to breathe because the tubes that move air in and out of your lungs are partly blocked. Think of trying to drink a milkshake through a straw that is pinched. This makes it hard for air to go in and out. COPD happens slowly and can get worse as time goes on. Signs of COPD include coughing a lot, making a wheezing noise, and being out of breath. It's important to take care of your lungs.",97,J44.9,J44.9,TRUE,TRUE,91.21,1,1,1,6.21,1.627739251,J44,J44,1,J44,1,1,1.627739251
Lung Hyperinflation,J43.9,"Lung hyperinflation is when your lungs get too much air and can't let it out easily. Think about blowing a balloon bigger and bigger until it is stretched. That is similar to what happens in your lungs. With this condition, breathing might feel tougher because the air doesn't move well in your lungs. It can happen with conditions like emphysema, where your lungs don’t work like they should. Doctors check your lungs for these problems to see if anything might help. Understanding this helps keep your lungs healthy and strong.",90,J43.9,J98.4,FALSE,TRUE,83.76,0,1,0.5,1.24,0.8892857143,J43,J43,1,J98,0,0.5,0.8892857143
Ground-Glass Opacities,R91.8,Ground-glass opacities are spots doctors see when they take pictures of your lungs. They show up on X-rays or CT scans. These spots look like you are peeking through a foggy window. It means something might be different in that part of the lung. It could be from a tiny infection or some swelling. Doctors use these pictures to learn more and may need more tests to find out why these changes are there. It's like they are gathering clues to help understand your health better.,86,R91.8,R91.8,TRUE,TRUE,92.83,1,1,1,7.83,1.622650057,R91,R91,1,R91,1,1,1.622650057
